Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
Programa094.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa009.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa009.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa010.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa010.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa043.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa043.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa016.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa016.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa027.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa027.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa096.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa096.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa059.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa059.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa093.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa093.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa078.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa078.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa091.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa091.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa055.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa055.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa089.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa089.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
